epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,318.551,1.74285,1.11443,1.07212,0.73194,0.63025,0.6788,0.28188,1.92319,1.28898,1.16839,0.00643101,0.00643101,0.00643101
43,326.036,1.71649,1.08649,1.06465,0.7203,0.67261,0.69256,0.30596,1.86565,1.19899,1.15416,0.00628101,0.00628101,0.00628101
44,333.512,1.72429,1.07546,1.06242,0.71988,0.65167,0.67597,0.26977,2.01604,1.24224,1.18609,0.00612981,0.00612981,0.00612981
45,340.927,1.71761,1.05782,1.06402,0.72642,0.65331,0.67432,0.29365,1.93202,1.20817,1.17332,0.00597754,0.00597754,0.00597754
46,348.35,1.69715,1.04522,1.05072,0.71498,0.63138,0.67274,0.29759,1.91284,1.20514,1.16685,0.00582435,0.00582435,0.00582435
47,355.733,1.69483,1.03205,1.05362,0.73992,0.66364,0.69793,0.29564,1.93529,1.18415,1.17891,0.0056704,0.0056704,0.0056704
48,363.157,1.68306,1.04096,1.06476,0.77247,0.66105,0.72039,0.30246,1.91586,1.20853,1.15603,0.00551584,0.00551584,0.00551584
49,370.508,1.68309,1.02214,1.04259,0.73297,0.67449,0.70116,0.30229,1.89527,1.19536,1.15897,0.00536081,0.00536081,0.00536081
50,377.96,1.6896,1.02818,1.04872,0.7534,0.65752,0.70886,0.30391,1.91812,1.16632,1.16923,0.00520548,0.00520548,0.00520548
51,385.363,1.68363,1.0255,1.05516,0.73625,0.68888,0.71446,0.3095,1.93317,1.13063,1.17853,0.00505,0.00505,0.00505
52,392.839,1.65803,0.99929,1.04962,0.70303,0.649,0.67247,0.27223,2.02752,1.2495,1.18557,0.00489452,0.00489452,0.00489452
53,400.316,1.62091,0.99863,1.04858,0.73746,0.69407,0.72052,0.30043,1.99641,1.14334,1.1897,0.00473919,0.00473919,0.00473919
54,408.053,1.65111,0.98878,1.0405,0.72612,0.68693,0.7164,0.30945,1.97852,1.10705,1.18419,0.00458416,0.00458416,0.00458416
55,415.758,1.63798,0.96923,1.0305,0.75116,0.66908,0.71371,0.30112,1.97073,1.13762,1.17992,0.0044296,0.0044296,0.0044296
56,423.115,1.63145,0.96797,1.04388,0.77737,0.66195,0.7167,0.29709,2.03786,1.12084,1.20137,0.00427565,0.00427565,0.00427565
57,430.532,1.60569,0.94723,1.02506,0.74441,0.65708,0.69759,0.28463,2.02987,1.17185,1.19809,0.00412246,0.00412246,0.00412246
58,437.91,1.62665,0.94111,1.03371,0.75044,0.67503,0.71183,0.31752,1.90854,1.08654,1.17833,0.00397019,0.00397019,0.00397019
59,445.399,1.60815,0.92542,1.02058,0.74176,0.66592,0.71226,0.31619,1.92776,1.09312,1.18006,0.00381899,0.00381899,0.00381899
60,452.879,1.6065,0.95214,1.02553,0.73952,0.67351,0.71473,0.29378,2.02993,1.14375,1.20416,0.00366899,0.00366899,0.00366899
61,460.262,1.60298,0.91957,1.02795,0.74396,0.67055,0.70663,0.29029,2.03756,1.11728,1.2026,0.00352037,0.00352037,0.00352037
62,467.645,1.57017,0.90459,1.01962,0.74791,0.69653,0.72931,0.31356,1.96538,1.08341,1.19419,0.00337325,0.00337325,0.00337325
63,475.035,1.58384,0.90795,1.00946,0.76107,0.66997,0.71359,0.29695,2.02292,1.12311,1.20403,0.00322778,0.00322778,0.00322778
64,482.485,1.55634,0.89333,1.01675,0.73331,0.66369,0.69457,0.29416,2.01152,1.10543,1.20061,0.00308412,0.00308412,0.00308412
65,489.899,1.54386,0.86752,1.01069,0.75058,0.70577,0.7377,0.30355,2.00322,1.09176,1.19387,0.00294239,0.00294239,0.00294239
66,497.297,1.51874,0.86018,1.00867,0.74858,0.69582,0.72869,0.31322,1.9711,1.08501,1.19149,0.00280275,0.00280275,0.00280275
67,504.754,1.51077,0.85874,1.00847,0.76534,0.69657,0.73774,0.32341,1.94491,1.05541,1.19688,0.00266532,0.00266532,0.00266532
68,512.308,1.54957,0.86759,1.00815,0.75842,0.67843,0.72919,0.30771,2.0087,1.09509,1.21101,0.00253024,0.00253024,0.00253024
69,519.887,1.52068,0.84741,1.00307,0.73157,0.69167,0.71839,0.31322,1.99148,1.07062,1.20924,0.00239766,0.00239766,0.00239766
70,527.243,1.48945,0.83089,1.00276,0.73627,0.68196,0.70969,0.30003,2.03918,1.07188,1.21958,0.00226769,0.00226769,0.00226769
71,534.756,1.50404,0.84097,1.00272,0.73906,0.67593,0.71175,0.29381,2.06244,1.09567,1.23883,0.00214046,0.00214046,0.00214046
72,542.221,1.49407,0.82307,1.00043,0.75698,0.66671,0.71022,0.2992,2.05212,1.08603,1.23122,0.00201611,0.00201611,0.00201611
73,549.767,1.47473,0.81163,1.00238,0.75135,0.67819,0.71534,0.30305,2.0225,1.08313,1.21494,0.00189475,0.00189475,0.00189475
74,557.154,1.44214,0.79074,0.98895,0.77454,0.70124,0.7414,0.32451,1.98113,1.03338,1.21189,0.00177651,0.00177651,0.00177651
75,564.627,1.47544,0.8083,1.00104,0.74151,0.69356,0.72205,0.3143,2.00311,1.05305,1.22366,0.00166149,0.00166149,0.00166149
76,572.172,1.46123,0.79649,0.99028,0.75008,0.68185,0.72113,0.30922,2.02484,1.05983,1.22301,0.00154982,0.00154982,0.00154982
77,579.711,1.47499,0.81359,0.99981,0.75963,0.67832,0.71874,0.29738,2.08862,1.06518,1.24704,0.00144161,0.00144161,0.00144161
78,587.206,1.46957,0.80824,0.99539,0.76758,0.70023,0.73824,0.31725,2.02367,1.04433,1.2306,0.00133695,0.00133695,0.00133695
79,594.664,1.43225,0.78132,0.98804,0.75357,0.69241,0.72204,0.3081,2.05068,1.0576,1.24178,0.00123596,0.00123596,0.00123596
80,602.111,1.41883,0.76827,0.97977,0.76675,0.70617,0.73808,0.31913,2.00446,1.03706,1.22125,0.00113873,0.00113873,0.00113873
81,609.527,1.42402,0.78133,0.98975,0.78153,0.69052,0.73375,0.30468,2.06572,1.05474,1.24249,0.00104537,0.00104537,0.00104537
82,616.98,1.38493,0.75447,0.98802,0.73845,0.71046,0.73659,0.31864,2.01713,1.0453,1.23137,0.000955951,0.000955951,0.000955951
83,624.414,1.41157,0.76108,0.97655,0.76008,0.6938,0.73078,0.3174,2.0306,1.03608,1.2387,0.000870577,0.000870577,0.000870577
84,631.874,1.42909,0.78032,0.98708,0.75694,0.69518,0.73353,0.31843,2.03154,1.03332,1.23943,0.000789327,0.000789327,0.000789327
85,639.3,1.40139,0.75233,0.98286,0.76394,0.70103,0.73433,0.32433,1.9974,1.02859,1.22889,0.000712282,0.000712282,0.000712282
86,646.681,1.42779,0.77242,0.98475,0.77357,0.69579,0.73433,0.31567,2.03609,1.03271,1.23955,0.000639518,0.000639518,0.000639518
87,654.043,1.3893,0.75326,0.97368,0.76483,0.69647,0.73574,0.31575,2.02513,1.03552,1.23122,0.000571106,0.000571106,0.000571106
88,661.443,1.3807,0.7383,0.966,0.76626,0.6947,0.73158,0.31233,2.04514,1.04208,1.24496,0.000507115,0.000507115,0.000507115
89,668.903,1.3651,0.74375,0.97432,0.76556,0.68649,0.72575,0.31267,2.04503,1.03772,1.24392,0.000447606,0.000447606,0.000447606
